Name,source,Item,Itemnum,Answer
Barack Obama,NPP,"Make sure your plans benefit yourself, not others",8,5
Barack Obama,NPP,Most people can be manipulated,9,4
Barack Obama,NPP,People see me as a natural leader,10,5
Barack Obama,NPP,I hate being the center of attention,11,3
Barack Obama,NPP,Many group activities tend to be dull without me,12,5
Barack Obama,NPP,I know that I am special because everyone keeps telling me so,13,5
Barack Obama,NPP,I like to get acquainted with important people,14,2
Barack Obama,NPP,I feel embarrassed if someone compliments me,15,3
Barack Obama,NPP,I have been compared to famous people,16,5
Barack Obama,NPP,I am an average person,17,4
Barack Obama,NPP,It's not wise to tell your secrets,1,3
Barack Obama,NPP,I like to use clever manipulation to get my way,2,3
Barack Obama,NPP,"Whatever it takes, you must get the important people on your side",3,4
Barack Obama,NPP,Avoid direct conflict with others because they may be useful in the future,4,1
Barack Obama,NPP,It's wise to keep track of information that you can use against people later,5,5
Barack Obama,NPP,You should wait for the right time to get back at people,6,1
Barack Obama,NPP,There are things you should hide from other people to preserve your reputation,7,5
Barack Obama,NPP,"Make sure your plans benefit yourself, not others",8,5
Barack Obama,NPP,Most people can be manipulated,9,4
Barack Obama,NPP,People see me as a natural leader,10,5
Barack Obama,NPP,I hate being the center of attention,11,1
Barack Obama,NPP,Many group activities tend to be dull without me,12,5
Barack Obama,NPP,I know that I am special because everyone keeps telling me so,13,5
Barack Obama,NPP,I like to get acquainted with important people,14,4
Barack Obama,NPP,I feel embarrassed if someone compliments me,15,5
Barack Obama,NPP,I have been compared to famous people,16,5
Barack Obama,NPP,I am an average person,17,5
Barack Obama,NPP,I insist on getting the respect I deserve,18,5
Barack Obama,NPP,I like to get revenge on authorities,19,2
Barack Obama,NPP,I avoid dangerous situations,20,5
Barack Obama,NPP,Payback needs to be quick and nasty,21,1
Barack Obama,NPP,People often say I'm out of control,22,1
Barack Obama,NPP,It's true that I can be mean to others,23,4
Barack Obama,NPP,People who mess with me always regret it,24,1
Barack Obama,NPP,I have never gotten into trouble with the law,25,5
Barack Obama,NPP,I enjoy having sex with people I hardly know,26,2
Barack Obama,NPP,I'll say anything to get what I want,27,1
Nelson Mandela,NPP,It's not wise to tell your secrets,1,5
Nelson Mandela,NPP,I like to use clever manipulation to get my way,2,2
Nelson Mandela,NPP,"Whatever it takes, you must get the important people on your side",3,4
Nelson Mandela,NPP,Avoid direct conflict with others because they may be useful in the future,4,5
Nelson Mandela,NPP,It's wise to keep track of information that you can use against people later,5,3
Nelson Mandela,NPP,You should wait for the right time to get back at people,6,5
Nelson Mandela,NPP,There are things you should hide from other people to preserve your reputation,7,3
Nelson Mandela,NPP,"Make sure your plans benefit yourself, not others",8,5
Nelson Mandela,NPP,Most people can be manipulated,9,4
Nelson Mandela,NPP,People see me as a natural leader,10,5
Nelson Mandela,NPP,I hate being the center of attention,11,4
Nelson Mandela,NPP,Many group activities tend to be dull without me,12,5
Nelson Mandela,NPP,I know that I am special because everyone keeps telling me so,13,5
Nelson Mandela,NPP,I like to get acquainted with important people,14,3
Nelson Mandela,NPP,I feel embarrassed if someone compliments me,15,5
Nelson Mandela,NPP,I have been compared to famous people,16,5
Nelson Mandela,NPP,I am an average person,17,5
Nelson Mandela,NPP,I insist on getting the respect I deserve,18,5
Nelson Mandela,NPP,I like to get revenge on authorities,19,5
Nelson Mandela,NPP,I avoid dangerous situations,20,3
Nelson Mandela,NPP,Payback needs to be quick and nasty,21,3
Nelson Mandela,NPP,People often say I'm out of control,22,1
Nelson Mandela,NPP,It's true that I can be mean to others,23,1
Nelson Mandela,NPP,People who mess with me always regret it,24,5
Nelson Mandela,NPP,I have never gotten into trouble with the law,25,5
Nelson Mandela,NPP,I enjoy having sex with people I hardly know,26,5
Nelson Mandela,NPP,I'll say anything to get what I want,27,5
Martin Luther King Jr.,NPP,It's not wise to tell your secrets,1,2
Martin Luther King Jr.,NPP,I like to use clever manipulation to get my way,2,4
Martin Luther King Jr.,NPP,"Whatever it takes, you must get the important people on your side",3,5
Martin Luther King Jr.,NPP,Avoid direct conflict with others because they may be useful in the future,4,5
Martin Luther King Jr.,NPP,It's wise to keep track of information that you can use against people later,5,1
Martin Luther King Jr.,NPP,You should wait for the right time to get back at people,6,3
Martin Luther King Jr.,NPP,There are things you should hide from other people to preserve your reputation,7,5
Martin Luther King Jr.,NPP,"Make sure your plans benefit yourself, not others",8,1
Martin Luther King Jr.,NPP,Most people can be manipulated,9,1
Martin Luther King Jr.,NPP,People see me as a natural leader,10,5
Martin Luther King Jr.,NPP,I hate being the center of attention,11,5
Martin Luther King Jr.,NPP,Many group activities tend to be dull without me,12,5
Martin Luther King Jr.,NPP,I know that I am special because everyone keeps telling me so,13,5
Martin Luther King Jr.,NPP,I like to get acquainted with important people,14,5
Martin Luther King Jr.,NPP,I feel embarrassed if someone compliments me,15,5
Martin Luther King Jr.,NPP,I have been compared to famous people,16,5
Martin Luther King Jr.,NPP,I am an average person,17,5
Martin Luther King Jr.,NPP,I insist on getting the respect I deserve,18,4
Martin Luther King Jr.,NPP,I like to get revenge on authorities,19,1
Martin Luther King Jr.,NPP,I avoid dangerous situations,20,1
Martin Luther King Jr.,NPP,Payback needs to be quick and nasty,21,3
Martin Luther King Jr.,NPP,People often say I'm out of control,22,4
Martin Luther King Jr.,NPP,It's true that I can be mean to others,23,4
Martin Luther King Jr.,NPP,People who mess with me always regret it,24,5
Martin Luther King Jr.,NPP,I have never gotten into trouble with the law,25,5
Martin Luther King Jr.,NPP,I enjoy having sex with people I hardly know,26,5
Martin Luther King Jr.,NPP,I'll say anything to get what I want,27,5
Mikhail Gorbachev,NPP,It's not wise to tell your secrets,1,2
Mikhail Gorbachev,NPP,I like to use clever manipulation to get my way,2,1
Mikhail Gorbachev,NPP,"Whatever it takes, you must get the important people on your side",3,5
Mikhail Gorbachev,NPP,Avoid direct conflict with others because they may be useful in the future,4,5
Mikhail Gorbachev,NPP,It's wise to keep track of information that you can use against people later,5,5
Mikhail Gorbachev,NPP,You should wait for the right time to get back at people,6,4
Mikhail Gorbachev,NPP,There are things you should hide from other people to preserve your reputation,7,4
Mikhail Gorbachev,NPP,"Make sure your plans benefit yourself, not others",8,5
Mikhail Gorbachev,NPP,Most people can be manipulated,9,5
Mikhail Gorbachev,NPP,People see me as a natural leader,10,5
Mikhail Gorbachev,NPP,I hate being the center of attention,11,1
Mikhail Gorbachev,NPP,Many group activities tend to be dull without me,12,5
Mikhail Gorbachev,NPP,I know that I am special because everyone keeps telling me so,13,5
Mikhail Gorbachev,NPP,I like to get acquainted with important people,14,5
Mikhail Gorbachev,NPP,I feel embarrassed if someone compliments me,15,5
Mikhail Gorbachev,NPP,I have been compared to famous people,16,5
Mikhail Gorbachev,NPP,I am an average person,17,3
Mikhail Gorbachev,NPP,I insist on getting the respect I deserve,18,4
Mikhail Gorbachev,NPP,I like to get revenge on authorities,19,2
Mikhail Gorbachev,NPP,I avoid dangerous situations,20,4
Mikhail Gorbachev,NPP,Payback needs to be quick and nasty,21,5
Mikhail Gorbachev,NPP,People often say I'm out of control,22,3
Mikhail Gorbachev,NPP,It's true that I can be mean to others,23,5
Mikhail Gorbachev,NPP,People who mess with me always regret it,24,5
Mikhail Gorbachev,NPP,I have never gotten into trouble with the law,25,5
Mikhail Gorbachev,NPP,I enjoy having sex with people I hardly know,26,3
Mikhail Gorbachev,NPP,I'll say anything to get what I want,27,1
Mother Teresa,NPP,It's not wise to tell your secrets,1,1
Mother Teresa,NPP,I like to use clever manipulation to get my way,2,5
Mother Teresa,NPP,"Whatever it takes, you must get the important people on your side",3,4
Mother Teresa,NPP,Avoid direct conflict with others because they may be useful in the future,4,1
Mother Teresa,NPP,It's wise to keep track of information that you can use against people later,5,4
Mother Teresa,NPP,You should wait for the right time to get back at people,6,4
Mother Teresa,NPP,There are things you should hide from other people to preserve your reputation,7,5
Mother Teresa,NPP,"Make sure your plans benefit yourself, not others",8,5
Mother Teresa,NPP,Most people can be manipulated,9,5
Mother Teresa,NPP,People see me as a natural leader,10,5
Mother Teresa,NPP,I hate being the center of attention,11,5
Mother Teresa,NPP,Many group activities tend to be dull without me,12,5
Mother Teresa,NPP,I know that I am special because everyone keeps telling me so,13,1
Mother Teresa,NPP,I like to get acquainted with important people,14,5
Mother Teresa,NPP,I feel embarrassed if someone compliments me,15,5
Mother Teresa,NPP,I have been compared to famous people,16,5
Mother Teresa,NPP,I am an average person,17,5
Mother Teresa,NPP,I insist on getting the respect I deserve,18,5
Mother Teresa,NPP,I like to get revenge on authorities,19,4
Mother Teresa,NPP,I avoid dangerous situations,20,1
Mother Teresa,NPP,Payback needs to be quick and nasty,21,1
Mother Teresa,NPP,People often say I'm out of control,22,5
Mother Teresa,NPP,It's true that I can be mean to others,23,4
Mother Teresa,NPP,People who mess with me always regret it,24,5
Mother Teresa,NPP,I have never gotten into trouble with the law,25,5
Mother Teresa,NPP,I enjoy having sex with people I hardly know,26,4
Mother Teresa,NPP,I'll say anything to get what I want,27,4
Barack Obama,NPP,It's not wise to tell your secrets,1,3
Barack Obama,NPP,I like to use clever manipulation to get my way,2,5
Barack Obama,NPP,"Whatever it takes, you must get the important people on your side",3,5
Barack Obama,NPP,Avoid direct conflict with others because they may be useful in the future,4,5
Barack Obama,NPP,It's wise to keep track of information that you can use against people later,5,3
Barack Obama,NPP,You should wait for the right time to get back at people,6,3
Barack Obama,NPP,There are things you should hide from other people to preserve your reputation,7,5
Barack Obama,NPP,"Make sure your plans benefit yourself, not others",8,5
Barack Obama,NPP,Most people can be manipulated,9,4
Barack Obama,NPP,People see me as a natural leader,10,5
Barack Obama,NPP,I hate being the center of attention,11,3
Barack Obama,NPP,Many group activities tend to be dull without me,12,1
Barack Obama,NPP,It's not wise to tell your secrets,1,5
Barack Obama,NPP,I like to use clever manipulation to get my way,2,5
Barack Obama,NPP,"Whatever it takes, you must get the important people on your side",3,3
Barack Obama,NPP,Avoid direct conflict with others because they may be useful in the future,4,5
Barack Obama,NPP,It's wise to keep track of information that you can use against people later,5,5
Barack Obama,NPP,You should wait for the right time to get back at people,6,4
Barack Obama,NPP,There are things you should hide from other people to preserve your reputation,7,5
Barack Obama,NPP,It's not wise to tell your secrets,1,5
Barack Obama,NPP,I like to use clever manipulation to get my way,2,4
Barack Obama,NPP,"Whatever it takes, you must get the important people on your side",3,5
Barack Obama,NPP,Avoid direct conflict with others because they may be useful in the future,4,5
Barack Obama,NPP,It's wise to keep track of information that you can use against people later,5,5
Barack Obama,NPP,You should wait for the right time to get back at people,6,4
Barack Obama,NPP,There are things you should hide from other people to preserve your reputation,7,3
Barack Obama,NPP,"Make sure your plans benefit yourself, not others",8,5
Barack Obama,NPP,Most people can be manipulated,9,5
Barack Obama,NPP,People see me as a natural leader,10,4
Barack Obama,NPP,I hate being the center of attention,11,3
Barack Obama,NPP,Many group activities tend to be dull without me,12,5
Barack Obama,NPP,I know that I am special because everyone keeps telling me so,13,4
Barack Obama,NPP,I like to get acquainted with important people,14,4
Barack Obama,NPP,I feel embarrassed if someone compliments me,15,5
Barack Obama,NPP,I have been compared to famous people,16,5
Barack Obama,NPP,I am an average person,17,5
Barack Obama,NPP,I insist on getting the respect I deserve,18,5
Barack Obama,NPP,I like to get revenge on authorities,19,2
Barack Obama,NPP,I avoid dangerous situations,20,4
Barack Obama,NPP,Payback needs to be quick and nasty,21,5
Barack Obama,NPP,People often say I'm out of control,22,5
Barack Obama,NPP,It's true that I can be mean to others,23,4
Barack Obama,NPP,People who mess with me always regret it,24,5
Barack Obama,NPP,I have never gotten into trouble with the law,25,5
Barack Obama,NPP,I enjoy having sex with people I hardly know,26,5
Barack Obama,NPP,I'll say anything to get what I want,27,4
Nelson Mandela,NPP,It's not wise to tell your secrets,1,5
Nelson Mandela,NPP,I like to use clever manipulation to get my way,2,5
Nelson Mandela,NPP,"Whatever it takes, you must get the important people on your side",3,5
Nelson Mandela,NPP,Avoid direct conflict with others because they may be useful in the future,4,5
Nelson Mandela,NPP,It's wise to keep track of information that you can use against people later,5,5
Nelson Mandela,NPP,You should wait for the right time to get back at people,6,3
Nelson Mandela,NPP,There are things you should hide from other people to preserve your reputation,7,5
Nelson Mandela,NPP,"Make sure your plans benefit yourself, not others",8,5
Nelson Mandela,NPP,Most people can be manipulated,9,4
Nelson Mandela,NPP,People see me as a natural leader,10,5
Nelson Mandela,NPP,I hate being the center of attention,11,5
Nelson Mandela,NPP,Many group activities tend to be dull without me,12,5
Nelson Mandela,NPP,I know that I am special because everyone keeps telling me so,13,4
Nelson Mandela,NPP,I like to get acquainted with important people,14,5
Nelson Mandela,NPP,I feel embarrassed if someone compliments me,15,3
Nelson Mandela,NPP,I have been compared to famous people,16,5
Nelson Mandela,NPP,I am an average person,17,5
Nelson Mandela,NPP,I insist on getting the respect I deserve,18,5
Nelson Mandela,NPP,I like to get revenge on authorities,19,5
Nelson Mandela,NPP,I avoid dangerous situations,20,3
Nelson Mandela,NPP,Payback needs to be quick and nasty,21,5
Nelson Mandela,NPP,People often say I'm out of control,22,5
Nelson Mandela,NPP,It's true that I can be mean to others,23,5
Nelson Mandela,NPP,People who mess with me always regret it,24,3
Nelson Mandela,NPP,I have never gotten into trouble with the law,25,5
Nelson Mandela,NPP,I enjoy having sex with people I hardly know,26,5
Nelson Mandela,NPP,I'll say anything to get what I want,27,3
Martin Luther King Jr.,NPP,It's not wise to tell your secrets,1,1
Martin Luther King Jr.,NPP,I like to use clever manipulation to get my way,2,5
Martin Luther King Jr.,NPP,"Whatever it takes, you must get the important people on your side",3,5
Martin Luther King Jr.,NPP,Avoid direct conflict with others because they may be useful in the future,4,5
Martin Luther King Jr.,NPP,It's wise to keep track of information that you can use against people later,5,3
Martin Luther King Jr.,NPP,You should wait for the right time to get back at people,6,2
Martin Luther King Jr.,NPP,There are things you should hide from other people to preserve your reputation,7,5
Martin Luther King Jr.,NPP,"Make sure your plans benefit yourself, not others",8,4
Martin Luther King Jr.,NPP,Most people can be manipulated,9,5
Martin Luther King Jr.,NPP,People see me as a natural leader,10,5
Martin Luther King Jr.,NPP,I hate being the center of attention,11,5
Martin Luther King Jr.,NPP,Many group activities tend to be dull without me,12,4
Martin Luther King Jr.,NPP,I know that I am special because everyone keeps telling me so,13,5
Martin Luther King Jr.,NPP,I like to get acquainted with important people,14,5
Martin Luther King Jr.,NPP,I feel embarrassed if someone compliments me,15,5
Martin Luther King Jr.,NPP,I have been compared to famous people,16,3
Martin Luther King Jr.,NPP,I am an average person,17,1
Martin Luther King Jr.,NPP,I insist on getting the respect I deserve,18,1
Martin Luther King Jr.,NPP,I like to get revenge on authorities,19,5
Martin Luther King Jr.,NPP,I avoid dangerous situations,20,4
Martin Luther King Jr.,NPP,Payback needs to be quick and nasty,21,5
Martin Luther King Jr.,NPP,People often say I'm out of control,22,5
Martin Luther King Jr.,NPP,It's true that I can be mean to others,23,4
Martin Luther King Jr.,NPP,People who mess with me always regret it,24,4
Martin Luther King Jr.,NPP,I have never gotten into trouble with the law,25,5
Martin Luther King Jr.,NPP,I enjoy having sex with people I hardly know,26,5
Martin Luther King Jr.,NPP,I'll say anything to get what I want,27,4
Mikhail Gorbachev,NPP,It's not wise to tell your secrets,1,4
Mikhail Gorbachev,NPP,I like to use clever manipulation to get my way,2,5
Mikhail Gorbachev,NPP,"Whatever it takes, you must get the important people on your side",3,5
Mikhail Gorbachev,NPP,Avoid direct conflict with others because they may be useful in the future,4,5
Mikhail Gorbachev,NPP,It's wise to keep track of information that you can use against people later,5,1
Mikhail Gorbachev,NPP,You should wait for the right time to get back at people,6,5
Mikhail Gorbachev,NPP,There are things you should hide from other people to preserve your reputation,7,3
Mikhail Gorbachev,NPP,"Make sure your plans benefit yourself, not others",8,5
Mikhail Gorbachev,NPP,Most people can be manipulated,9,4
Mikhail Gorbachev,NPP,People see me as a natural leader,10,5
Mikhail Gorbachev,NPP,I hate being the center of attention,11,4
Mikhail Gorbachev,NPP,Many group activities tend to be dull without me,12,3
Mikhail Gorbachev,NPP,I know that I am special because everyone keeps telling me so,13,2
Mikhail Gorbachev,NPP,I like to get acquainted with important people,14,3
Mikhail Gorbachev,NPP,I feel embarrassed if someone compliments me,15,3
Mikhail Gorbachev,NPP,I have been compared to famous people,16,4
Mikhail Gorbachev,NPP,I am an average person,17,1
Mikhail Gorbachev,NPP,I insist on getting the respect I deserve,18,5
Mikhail Gorbachev,NPP,I like to get revenge on authorities,19,3
Mikhail Gorbachev,NPP,I avoid dangerous situations,20,4
Mikhail Gorbachev,NPP,Payback needs to be quick and nasty,21,1
Mikhail Gorbachev,NPP,People often say I'm out of control,22,5
Mikhail Gorbachev,NPP,It's true that I can be mean to others,23,5
Mikhail Gorbachev,NPP,People who mess with me always regret it,24,3
Mikhail Gorbachev,NPP,I have never gotten into trouble with the law,25,3
Mikhail Gorbachev,NPP,I enjoy having sex with people I hardly know,26,4
Mikhail Gorbachev,NPP,I'll say anything to get what I want,27,1
Mother Teresa,NPP,It's not wise to tell your secrets,1,5
Mother Teresa,NPP,I like to use clever manipulation to get my way,2,3
Mother Teresa,NPP,"Whatever it takes, you must get the important people on your side",3,5
Mother Teresa,NPP,Avoid direct conflict with others because they may be useful in the future,4,5
Mother Teresa,NPP,It's wise to keep track of information that you can use against people later,5,5
Mother Teresa,NPP,You should wait for the right time to get back at people,6,3
Mother Teresa,NPP,There are things you should hide from other people to preserve your reputation,7,3
Mother Teresa,NPP,"Make sure your plans benefit yourself, not others",8,5
Mother Teresa,NPP,Most people can be manipulated,9,4
Mother Teresa,NPP,People see me as a natural leader,10,5
Mother Teresa,NPP,I hate being the center of attention,11,2
Mother Teresa,NPP,Many group activities tend to be dull without me,12,5
Mother Teresa,NPP,I know that I am special because everyone keeps telling me so,13,4
Mother Teresa,NPP,I like to get acquainted with important people,14,2
Mother Teresa,NPP,I feel embarrassed if someone compliments me,15,5
Mother Teresa,NPP,I have been compared to famous people,16,5
Mother Teresa,NPP,I am an average person,17,4
Mother Teresa,NPP,I insist on getting the respect I deserve,18,5
Mother Teresa,NPP,I like to get revenge on authorities,19,4
Mother Teresa,NPP,I avoid dangerous situations,20,4
Mother Teresa,NPP,Payback needs to be quick and nasty,21,1
Mother Teresa,NPP,People often say I'm out of control,22,5
Mother Teresa,NPP,It's true that I can be mean to others,23,5
Mother Teresa,NPP,People who mess with me always regret it,24,5
Mother Teresa,NPP,I have never gotten into trouble with the law,25,5
Mother Teresa,NPP,I enjoy having sex with people I hardly know,26,2
Mother Teresa,NPP,I'll say anything to get what I want,27,4
